'Name';'Constraint template';'Implying activity';'Implied activity';'Support';'Confidence level';'Interest factor'
'NotSuccession(Request, Feedback)';'NotSuccession';'Request';'Feedback';81.818;4.196;2.152
'NotCoExistence(Request, Feedback)';'NotCoExistence';'Request';'Feedback';81.818;4.196;2.152
'CoExistence(Request, Query)';'CoExistence';'Request';'Query';72.500;37.179;37.179
'Succession(Request, Query)';'Succession';'Request';'Query';45.000;23.077;23.077
'AlternateSuccession(Request, Query)';'AlternateSuccession';'Request';'Query';45.000;23.077;23.077
'ChainSuccession(Request, Query)';'ChainSuccession';'Request';'Query';45.000;23.077;23.077
'RespondedExistence(Request, Query)';'RespondedExistence';'Request';'Query';100.000;51.282;51.282
'Response(Request, Query)';'Response';'Request';'Query';90.000;46.154;46.154
'AlternateResponse(Request, Query)';'AlternateResponse';'Request';'Query';90.000;46.154;46.154
'ChainResponse(Request, Query)';'ChainResponse';'Request';'Query';90.000;46.154;46.154
'NotChainSuccession(Request, Query)';'NotChainSuccession';'Request';'Query';55.000;28.205;28.205
'NotSuccession(Request, Query)';'NotSuccession';'Request';'Query';55.000;28.205;28.205
'NotCoExistence(Request, Query)';'NotCoExistence';'Request';'Query';27.500;14.103;14.103
'CoExistence(Request, Response)';'CoExistence';'Request';'Response';0.000;0.000;0.000
'Succession(Request, Response)';'Succession';'Request';'Response';0.000;0.000;0.000
'AlternateSuccession(Request, Response)';'AlternateSuccession';'Request';'Response';0.000;0.000;0.000
'ChainSuccession(Request, Response)';'ChainSuccession';'Request';'Response';0.000;0.000;0.000
'RespondedExistence(Request, Response)';'RespondedExistence';'Request';'Response';0.000;0.000;0.000
'Response(Request, Response)';'Response';'Request';'Response';0.000;0.000;0.000
'AlternateResponse(Request, Response)';'AlternateResponse';'Request';'Response';0.000;0.000;0.000
'ChainResponse(Request, Response)';'ChainResponse';'Request';'Response';0.000;0.000;0.000
'NotChainSuccession(Request, Response)';'NotChainSuccession';'Request';'Response';100.000;48.718;24.984
'NotSuccession(Request, Response)';'NotSuccession';'Request';'Response';100.000;48.718;24.984
'NotCoExistence(Request, Response)';'NotCoExistence';'Request';'Response';100.000;48.718;24.984
'Precedence(Response, Request)';'Precedence';'Request';'Response';0.000;0.000;0.000
'AlternatePrecedence(Response, Request)';'AlternatePrecedence';'Request';'Response';0.000;0.000;0.000
'ChainPrecedence(Response, Request)';'ChainPrecedence';'Request';'Response';0.000;0.000;0.000
'AtMostOne(Response)';'AtMostOne';'Response';'';100.000;48.718;23.734
'End(Response)';'End';'Response';'';41.026;19.987;9.737
'Init(Response)';'Init';'Response';'';0.000;0.000;0.000
'Participation(Response)';'Participation';'Response';'';48.718;23.734;11.563
'Precedence(Feedback, Response)';'Precedence';'Response';'Feedback';0.000;0.000;0.000
'AlternatePrecedence(Feedback, Response)';'AlternatePrecedence';'Response';'Feedback';0.000;0.000;0.000
'ChainPrecedence(Feedback, Response)';'ChainPrecedence';'Response';'Feedback';0.000;0.000;0.000
'Precedence(Query, Response)';'Precedence';'Response';'Query';100.000;100.000;48.718
'AlternatePrecedence(Query, Response)';'AlternatePrecedence';'Response';'Query';100.000;100.000;48.718
'ChainPrecedence(Query, Response)';'ChainPrecedence';'Response';'Query';100.000;100.000;48.718
'Precedence(Request, Response)';'Precedence';'Response';'Request';0.000;0.000;0.000
'AlternatePrecedence(Request, Response)';'AlternatePrecedence';'Response';'Request';0.000;0.000;0.000
'ChainPrecedence(Request, Response)';'ChainPrecedence';'Response';'Request';0.000;0.000;0.000
'CoExistence(Response, Feedback)';'CoExistence';'Response';'Feedback';0.000;0.000;0.000
'Succession(Response, Feedback)';'Succession';'Response';'Feedback';0.000;0.000;0.000
'AlternateSuccession(Response, Feedback)';'AlternateSuccession';'Response';'Feedback';0.000;0.000;0.000
'ChainSuccession(Response, Feedback)';'ChainSuccession';'Response';'Feedback';0.000;0.000;0.000
'RespondedExistence(Response, Feedback)';'RespondedExistence';'Response';'Feedback';0.000;0.000;0.000
'Response(Response, Feedback)';'Response';'Response';'Feedback';0.000;0.000;0.000
'AlternateResponse(Response, Feedback)';'AlternateResponse';'Response';'Feedback';0.000;0.000;0.000
'ChainResponse(Response, Feedback)';'ChainResponse';'Response';'Feedback';0.000;0.000;0.000
'NotChainSuccession(Response, Feedback)';'NotChainSuccession';'Response';'Feedback';100.000;5.128;2.498
'NotSuccession(Response, Feedback)';'NotSuccession';'Response';'Feedback';100.000;5.128;2.498
'NotCoExistence(Response, Feedback)';'NotCoExistence';'Response';'Feedback';100.000;5.128;2.498
'CoExistence(Response, Query)';'CoExistence';'Response';'Query';51.899;25.284;25.284
'Succession(Response, Query)';'Succession';'Response';'Query';7.595;3.700;3.700
