case ID,resource,activity name,resource+activity,Sitter,New,New
18,A,prompt(link),A|prompt(link),A|offer,Request,Request
18,U,question(data),U|question(data),U|request,Query,Query
18,A,list(keywords),A|list(keywords),A|offer,Request,Request
18,U,set(keywords),U|set(keywords),U|request,Query,Query
18,A,count(data),A|count(data),A|assert,Answer,Answer
18,U,success(),U|success(),U|be contented,Feedback,Feedback
18,A,success(),A|success(),A|be contented*,Answer,Answer
19,U,greeting(),U|greeting(),U|hello*,Hello,Hello
19,A,greeting(),A|greeting(),A|hello*,Hello,Hello
19,U,question(data),U|question(data),U|request,Query,Query
19,A,list(keywords),A|list(keywords),A|offer,Request,Request
19,U,set(keywords),U|set(keywords),U|request,Query,Query
19,A,top(keywords),A|top(keywords),A|assert,Answer,Answer
19,U,set(keywords),U|set(keywords),U|request,Query,Query
19,A,list(keywords),A|list(keywords),A|offer,Request,Request
19,U,confirm(),U|confirm(),U|accept,Feedback,Feedback
19,A,count(data),A|count(data),A|assert,Answer,Answer
19,U,success(),U|success(),U|be contented,Feedback,Feedback
19,A,success(),A|success(),A|be contented*,Answer,Answer
20,A,list(keywords),A|list(keywords),A|offer,Request,Request
20,U,set(keywords),U|set(keywords),U|request,Query,Query
20,A,list(keywords),A|list(keywords),A|offer,Request,Request
20,U,set(keywords),U|set(keywords),U|request,Query,Query
20,A,prompt(keywords),A|prompt(keywords),A|offer,Request,Request
20,U,set(keywords),U|set(keywords),U|request,Query,Query
20,A,confirm(),A|confirm(),A|promise,Answer,Answer
20,U,set(keywords),U|set(keywords),U|request,Query,Query
20,A,count(data),A|count(data),A|assert,Answer,Answer
20,U,success(),U|success(),U|be contented,Feedback,Feedback
21,A,greeting(),A|greeting(),A|hello*,Hello,Hello
21,U,greeting(),U|greeting(),U|hello*,Hello,Hello
21,A,prompt(keywords),A|prompt(keywords),A|offer,Request,Request
21,U,set(keywords),U|set(keywords),U|request,Query,Query
21,A,count(data),A|count(data),A|assert,Answer,Answer
21,U,question(data),U|question(data),U|request,Query,Query
